Name,Alternating,Unknotting Number
11n_165,N,2
11n_166,N,[1;2]
11n_167,N,2
11n_168,N,2
11n_169,N,[3;4]
11n_170,N,2
11n_171,N,[2;3]
11n_172,N,[1;2]
11n_173,N,[2;3]
11n_174,N,2
11n_175,N,2
11n_176,N,1
11n_177,N,[1;2]
11n_178,N,2
11n_179,N,[1;2]
11n_180,N,[3;4]
11n_181,N,[2;3]
11n_182,N,[1;2]
11n_183,N,3
11n_184,N,1
11n_185,N,2
12a_1,Y,1
12a_2,Y,1
12a_3,Y,2
12a_4,Y,2
12a_5,Y,2
12a_6,Y,1
12a_7,Y,2
12a_8,Y,1
12a_9,Y,2
12a_10,Y,2
12a_11,Y,2
12a_12,Y,2
12a_13,Y,2
12a_14,Y,2
12a_15,Y,2
12a_16,Y,2
12a_17,Y,2
12a_18,Y,2
12a_19,Y,1
12a_20,Y,1
12a_21,Y,2
12a_22,Y,1
12a_23,Y,2
12a_24,Y,2
12a_25,Y,1
12a_26,Y,2
12a_27,Y,1
12a_28,Y,1
12a_29,Y,2
12a_30,Y,2
12a_31,Y,1
12a_32,Y,2
12a_33,Y,2
12a_34,Y,3
12a_35,Y,[2;3]
12a_36,Y,3
12a_37,Y,[2;3]
12a_38,Y,2
12a_39,Y,2
12a_40,Y,1
12a_41,Y,[2;3]
12a_42,Y,2
12a_43,Y,3
12a_44,Y,[2;3]
12a_45,Y,[2;3]
12a_46,Y,2
12a_47,Y,[2;3]
12a_48,Y,2
12a_49,Y,[2;3]
12a_50,Y,[2;3]
12a_51,Y,2
12a_52,Y,4
12a_53,Y,3
12a_54,Y,2
12a_55,Y,3
12a_56,Y,2
12a_57,Y,2
12a_58,Y,1
12a_59,Y,2
12a_60,Y,2
12a_61,Y,1
12a_62,Y,2
12a_63,Y,2
12a_64,Y,[2;3]
12a_65,Y,[2;3]
12a_66,Y,2
12a_67,Y,2
12a_68,Y,2
12a_69,Y,2
12a_70,Y,2
12a_71,Y,2
12a_72,Y,2
12a_73,Y,1
12a_74,Y,2
12a_75,Y,[2;3]
12a_76,Y,2
12a_77,Y,2
12a_78,Y,[2;3]
12a_79,Y,2
12a_80,Y,1
12a_81,Y,2
12a_82,Y,3
12a_83,Y,2
12a_84,Y,2
12a_85,Y,[2;3]
12a_86,Y,[2;3]
12a_87,Y,2
12a_88,Y,2
12a_89,Y,[2;3]
12a_90,Y,2
12a_91,Y,2
12a_92,Y,2
12a_93,Y,4
12a_94,Y,[3;4]
12a_95,Y,2
12a_96,Y,3
12a_97,Y,[2;3]
12a_98,Y,2
12a_99,Y,2
12a_100,Y,2
12a_101,Y,2
12a_102,Y,[3;4]
12a_103,Y,[2;3]
12a_104,Y,[2;3]
12a_105,Y,3
12a_106,Y,2
12a_107,Y,[3;4]
12a_108,Y,2
12a_109,Y,2
12a_110,Y,2
12a_111,Y,2
12a_112,Y,2
12a_113,Y,2
12a_114,Y,[2;3]
12a_115,Y,2
12a_116,Y,2
12a_117,Y,[2;3]
12a_118,Y,2
12a_119,Y,2
12a_120,Y,2
12a_121,Y,1
12a_122,Y,2
12a_123,Y,2
12a_124,Y,2
12a_125,Y,[2;3]
12a_126,Y,2
12a_127,Y,[2;3]
12a_128,Y,2
12a_129,Y,2
12a_130,Y,2
12a_131,Y,2
12a_132,Y,2
12a_133,Y,2
12a_134,Y,2
12a_135,Y,2
12a_136,Y,2
12a_137,Y,2
12a_138,Y,1
12a_139,Y,2
12a_140,Y,2
12a_141,Y,2
12a_142,Y,2
12a_143,Y,4
12a_144,Y,[3;4]
12a_145,Y,[3;4]
12a_146,Y,[3;4]
12a_147,Y,[2;4]
12a_148,Y,[2;4]
12a_149,Y,2
12a_150,Y,[2;4]
12a_151,Y,1
12a_152,Y,[2;3]
12a_153,Y,[2;3]
12a_154,Y,2
12a_155,Y,2
12a_156,Y,[2;4]
12a_157,Y,2
12a_158,Y,3
12a_159,Y,2
12a_160,Y,[2;4]
12a_161,Y,[2;3]
12a_162,Y,2
12a_163,Y,2
12a_164,Y,2
12a_165,Y,2
12a_166,Y,2
12a_167,Y,[2;4]
12a_168,Y,[2;3]
12a_169,Y,2
12a_170,Y,2
12a_171,Y,2
12a_172,Y,2
12a_173,Y,1
12a_174,Y,1
12a_175,Y,2
12a_176,Y,2
12a_177,Y,2
12a_178,Y,[2;3]
12a_179,Y,2
12a_180,Y,1
12a_181,Y,[2;3]
12a_182,Y,2
12a_183,Y,[2;3]
12a_184,Y,1
12a_185,Y,2
12a_186,Y,[2;3]
12a_187,Y,2
12a_188,Y,2
12a_189,Y,2
12a_190,Y,2
12a_191,Y,1
12a_192,Y,2
12a_193,Y,[2;3]
12a_194,Y,2
12a_195,Y,[2;3]
12a_196,Y,[2;3]
12a_197,Y,2
12a_198,Y,2
12a_199,Y,[2;3]
12a_200,Y,2
12a_201,Y,2
12a_202,Y,1
12a_203,Y,2
12a_204,Y,2
12a_205,Y,3
12a_206,Y,2
12a_207,Y,2
12a_208,Y,1
12a_209,Y,1
12a_210,Y,2
12a_211,Y,[2;3]
12a_212,Y,[2;3]
12a_213,Y,2
12a_214,Y,1
12a_215,Y,2
12a_216,Y,2
12a_217,Y,1
12a_218,Y,2
12a_219,Y,2
12a_220,Y,1
12a_221,Y,2
12a_222,Y,2
12a_223,Y,2
12a_224,Y,2
12a_225,Y,2
12a_226,Y,2
12a_227,Y,2
12a_228,Y,2
12a_229,Y,2
12a_230,Y,2
12a_231,Y,[2;3]
12a_232,Y,2
12a_233,Y,2
12a_234,Y,2
12a_235,Y,2
12a_236,Y,3
12a_237,Y,2
12a_238,Y,[2;3]
12a_239,Y,2
12a_240,Y,[2;3]
12a_241,Y,2
12a_242,Y,2
12a_243,Y,2
12a_244,Y,[2;3]
12a_245,Y,2
12a_246,Y,2
12a_247,Y,2
12a_248,Y,2
12a_249,Y,2
12a_250,Y,2
12a_251,Y,2
12a_252,Y,3
12a_253,Y,2
12a_254,Y,[2;3]
12a_255,Y,2
12a_256,Y,1
12a_257,Y,2
12a_258,Y,2
12a_259,Y,2
12a_260,Y,2
12a_261,Y,1
12a_262,Y,2
12a_263,Y,2
12a_264,Y,2
12a_265,Y,2
12a_266,Y,2
12a_267,Y,2
12a_268,Y,2
12a_269,Y,[2;3]
12a_270,Y,2
12a_271,Y,2
12a_272,Y,1
12a_273,Y,2
12a_274,Y,2
12a_275,Y,2
12a_276,Y,4
12a_277,Y,3
12a_278,Y,2
12a_279,Y,2
12a_280,Y,1
12a_281,Y,2
12a_282,Y,1
12a_283,Y,2
12a_284,Y,2
12a_285,Y,2
12a_286,Y,2
12a_287,Y,1
12a_288,Y,2
12a_289,Y,[2;3]
12a_290,Y,1
12a_291,Y,2
12a_292,Y,2
12a_293,Y,3
12a_294,Y,[2;3]
12a_295,Y,3
12a_296,Y,2
12a_297,Y,[2;3]
12a_298,Y,2
12a_299,Y,2
12a_300,Y,1
12a_301,Y,1
12a_302,Y,[2;3]
12a_303,Y,1
12a_304,Y,[2;3]
12a_305,Y,2
12a_306,Y,2
12a_307,Y,2
12a_308,Y,1
12a_309,Y,1
12a_310,Y,1
12a_311,Y,3
12a_312,Y,2
12a_313,Y,2
12a_314,Y,2
12a_315,Y,[2;3]
12a_316,Y,1
12a_317,Y,2
12a_318,Y,2
12a_319,Y,[3;4]
12a_320,Y,[2;3]
12a_321,Y,3
12a_322,Y,2
12a_323,Y,2
12a_324,Y,2
12a_325,Y,2
12a_326,Y,2
12a_327,Y,3
12a_328,Y,2
12a_329,Y,[2;3]
12a_330,Y,2
12a_331,Y,[2;3]
12a_332,Y,2
12a_333,Y,2
12a_334,Y,2
12a_335,Y,2
12a_336,Y,2
12a_337,Y,2
12a_338,Y,2
12a_339,Y,2
12a_340,Y,1
12a_341,Y,2
12a_342,Y,2
12a_343,Y,2
12a_344,Y,3
12a_345,Y,2
12a_346,Y,1
12a_347,Y,2
12a_348,Y,2
12a_349,Y,2
12a_350,Y,[2;3]
12a_351,Y,2
12a_352,Y,2
12a_353,Y,2
12a_354,Y,2
12a_355,Y,3
12a_356,Y,2
12a_357,Y,2
12a_358,Y,1
12a_359,Y,1
12a_360,Y,1
12a_361,Y,2
12a_362,Y,2
12a_363,Y,2
12a_364,Y,2
12a_365,Y,2
12a_366,Y,2
12a_367,Y,4
12a_368,Y,[3;4]
12a_369,Y,3
12a_370,Y,[2;3]
12a_371,Y,[2;3]
12a_372,Y,[2;3]
12a_373,Y,3
12a_374,Y,1
12a_375,Y,[2;3]
12a_376,Y,[2;3]
12a_377,Y,2
12a_378,Y,2
12a_379,Y,[2;3]
12a_380,Y,[2;3]
12a_381,Y,[2;3]
12a_382,Y,[2;3]
12a_383,Y,2
12a_384,Y,2
12a_385,Y,2
12a_386,Y,3
12a_387,Y,2
12a_388,Y,1
12a_389,Y,2
12a_390,Y,2
12a_391,Y,[3;4]
12a_392,Y,[2;4]
12a_393,Y,2
12a_394,Y,2
12a_395,Y,2
12a_396,Y,2
12a_397,Y,2
12a_398,Y,2
12a_399,Y,2
12a_400,Y,2
12a_401,Y,2
12a_402,Y,2
12a_403,Y,2
12a_404,Y,2
12a_405,Y,2
12a_406,Y,2
12a_407,Y,1
12a_408,Y,2
12a_409,Y,3
12a_410,Y,2
12a_411,Y,2
12a_412,Y,2
12a_413,Y,2
12a_414,Y,[2;3]
12a_415,Y,1
12a_416,Y,2
12a_417,Y,2
12a_418,Y,2
12a_419,Y,2
12a_420,Y,3
12a_421,Y,[2;3]
12a_422,Y,[2;4]
12a_423,Y,[2;3]
12a_424,Y,[2;3]
12a_425,Y,2
12a_426,Y,1
12a_427,Y,2
12a_428,Y,2
12a_429,Y,2
12a_430,Y,2
12a_431,Y,[3;4]
12a_432,Y,3
12a_433,Y,3
12a_434,Y,[2;3]
12a_435,Y,2
12a_436,Y,[2;3]
12a_437,Y,2
12a_438,Y,2
12a_439,Y,1
12a_440,Y,2
12a_441,Y,2
12a_442,Y,3
12a_443,Y,[2;3]
12a_444,Y,2
12a_445,Y,2
12a_446,Y,2
12a_447,Y,2
12a_448,Y,2
12a_449,Y,[2;3]
12a_450,Y,2
12a_451,Y,1
12a_452,Y,2
12a_453,Y,2
12a_454,Y,[2;3]
12a_455,Y,1
12a_456,Y,2
12a_457,Y,2
12a_458,Y,2
12a_459,Y,2
12a_460,Y,2
12a_461,Y,[2;3]
12a_462,Y,[2;3]
12a_463,Y,2
12a_464,Y,2
12a_465,Y,2
12a_466,Y,2
12a_467,Y,1
12a_468,Y,2
12a_469,Y,2
12a_470,Y,1
12a_471,Y,2
12a_472,Y,2
12a_473,Y,2
12a_474,Y,2
12a_475,Y,2
12a_476,Y,2
12a_477,Y,[2;3]
12a_478,Y,2
12a_479,Y,2
12a_480,Y,2
12a_481,Y,[2;3]
12a_482,Y,[2;3]
12a_483,Y,1
12a_484,Y,2
12a_485,Y,2
12a_486,Y,2
12a_487,Y,2
12a_488,Y,2
12a_489,Y,2
