Name,Unknotting Number
12a_463,2
12a_464,2
12a_465,2
12a_466,2
12a_467,1
12a_468,2
12a_469,2
12a_470,1
12a_471,2
12a_472,2
12a_473,2
12a_474,2
12a_475,2
12a_476,2
12a_477,[2;3]
12a_478,2
12a_479,2
12a_480,2
12a_481,[2;3]
12a_482,[2;3]
12a_483,1
12a_484,2
12a_485,2
12a_486,2
12a_487,2
12a_488,2
12a_489,2
12a_490,3
12a_491,2
12a_492,2
12a_493,[2;3]
12a_494,[2;3]
12a_495,2
12a_496,[2;3]
12a_497,1
12a_498,1
12a_499,2
12a_500,2
12a_501,2
12a_502,3
12a_503,2
12a_504,2
12a_505,2
12a_506,2
12a_507,3
12a_508,[2;3]
12a_509,1
12a_510,2
12a_511,2
12a_512,2
12a_513,2
12a_514,2
12a_515,2
12a_516,2
12a_517,2
12a_518,2
12a_519,3
12a_520,2
12a_521,2
12a_522,2
12a_523,2
12a_524,1
12a_525,2
12a_526,2
12a_527,2
12a_528,2
12a_529,2
12a_530,2
12a_531,2
12a_532,2
12a_533,[2;3]
12a_534,2
12a_535,1
12a_536,2
12a_537,1
12a_538,3
12a_539,2
12a_540,2
12a_541,2
12a_542,2
12a_543,2
12a_544,[2;3]
12a_545,[2;3]
12a_546,2
12a_547,2
12a_548,2
12a_549,2
12a_550,2
12a_551,1
12a_552,2
12a_553,[2;3]
12a_554,3
12a_555,2
12a_556,[2;3]
12a_557,2
12a_558,2
12a_559,1
12a_560,1
12a_561,3
12a_562,2
12a_563,3
12a_564,2
12a_565,2
12a_566,2
12a_567,2
12a_568,[2;3]
12a_569,3
12a_570,2
12a_571,1
12a_572,2
12a_573,2
12a_574,4
12a_575,3
12a_576,3
12a_577,2
12a_578,2
12a_579,1
12a_580,[2;3]
12a_581,2
12a_582,2
12a_583,2
12a_584,2
12a_585,1
12a_586,[3;4]
12a_587,3
12a_588,1
12a_589,2
12a_590,3
12a_591,2
12a_592,[2;3]
12a_593,2
12a_594,2
12a_595,2
12a_596,2
12a_597,[2;3]
12a_598,2
12a_599,2
12a_600,[2;3]
12a_601,2
12a_602,2
12a_603,2
12a_604,1
12a_605,2
12a_606,1
12a_607,2
12a_608,1
12a_609,2
12a_610,[2;3]
12a_611,2
12a_612,2
12a_613,2
12a_614,1
12a_615,3
12a_616,[2;3]
12a_617,2
12a_618,2
12a_619,2
12a_620,2
12a_621,2
12a_622,2
12a_623,2
12a_624,2
12a_625,2
12a_626,1
12a_627,2
12a_628,2
12a_629,2
12a_630,2
12a_631,1
12a_632,2
12a_633,2
12a_634,[2;3]
12a_635,1
12a_636,[2;3]
12a_637,1
12a_638,2
12a_639,[2;3]
12a_640,2
12a_641,[2;3]
12a_642,2
12a_643,[2;3]
12a_644,2
12a_645,2
12a_646,1
12a_647,4
12a_648,3
12a_649,[2;3]
12a_650,2
12a_651,[2;3]
12a_652,2
12a_653,[2;3]
12a_654,2
12a_655,2
12a_656,1
12a_657,2
12a_658,2
12a_659,[3;4]
12a_660,3
12a_661,[2;3]
12a_662,1
12a_663,2
12a_664,3
12a_665,[2;3]
12a_666,2
12a_667,[2;4]
12a_668,[2;3]
12a_669,[2;3]
12a_670,1
12a_671,2
12a_672,2
12a_673,2
12a_674,2
12a_675,2
12a_676,2
12a_677,2
12a_678,2
12a_679,2
12a_680,[2;3]
12a_681,[2;3]
12a_682,2
12a_683,3
12a_684,[2;3]
12a_685,2
12a_686,[2;3]
12a_687,[2;3]
12a_688,2
12a_689,[2;3]
12a_690,2
12a_691,2
12a_692,[2;4]
12a_693,[2;3]
12a_694,3
12a_695,1
12a_696,1
12a_697,1
12a_698,2
12a_699,2
12a_700,2
12a_701,2
12a_702,[2;3]
12a_703,2
12a_704,2
12a_705,2
12a_706,[2;3]
12a_707,2
12a_708,2
12a_709,2
12a_710,2
12a_711,2
12a_712,2
12a_713,2
12a_714,2
12a_715,1
12a_716,3
12a_717,2
12a_718,2
12a_719,2
12a_720,2
12a_721,1
12a_722,4
12a_723,3
12a_724,3
12a_725,3
12a_726,3
12a_727,2
12a_728,2
12a_729,1
12a_730,[2;3]
12a_731,2
12a_732,1
12a_733,2
12a_734,2
12a_735,2
12a_736,1
12a_737,2
12a_738,2
12a_739,3
12a_740,2
12a_741,[2;3]
12a_742,2
12a_743,2
12a_744,1
12a_745,1
12a_746,2
12a_747,2
12a_748,2
12a_749,2
12a_750,3
12a_751,1
12a_752,2
12a_753,2
12a_754,2
12a_755,2
12a_756,2
12a_757,2
12a_758,2
12a_759,2
12a_760,2
12a_761,1
12a_762,[3;4]
12a_763,[2;3]
12a_764,[2;3]
12a_765,1
12a_766,1
12a_767,[2;3]
12a_768,2
12a_769,2
12a_770,1
12a_771,2
12a_772,2
12a_773,1
12a_774,1
12a_775,2
12a_776,2
12a_777,2
12a_778,2
12a_779,2
12a_780,3
12a_781,1
12a_782,2
12a_783,2
12a_784,[2;3]
12a_785,2
12a_786,2
12a_787,2
12a_788,2
12a_789,[2;3]
12a_790,2
12a_791,[2;3]
12a_792,2
12a_793,1
12a_794,[3;4]
12a_795,[2;3]
12a_796,[2;3]
12a_797,2
12a_798,[2;3]
12a_799,1
12a_800,[2;3]
12a_801,[3;4]
12a_802,2
12a_803,1
12a_804,2
12a_805,2
12a_806,2
12a_807,1
12a_808,2
12a_809,2
12a_810,2
12a_811,4
12a_812,[2;3]
12a_813,4
12a_814,[3;4]
12a_815,[2;4]
12a_816,[2;4]
12a_817,4
12a_818,2
12a_819,2
12a_820,2
